"Image Optimizer","Image Optimizer"
"License","License"
"General Settings","General Settings"
"Frontend Output","Frontend Output"
"Image Coverage","Image Coverage"
"Module Enabled","Module Enabled"
"WebP Quality (1-100)","WebP Quality (1-100)"
"Engine Priority Order","Engine Priority Order"
"Bulk Batch Size","Bulk Batch Size"
"Emit <picture> element","Emit <picture> element"
"Native lazy-loading","Native lazy-loading"
"Product cache (pub/media/catalog/product/cache)","Product cache (pub/media/catalog/product/cache)"
"Category images (pub/media/catalog/category)","Category images (pub/media/catalog/category)"
"CMS / Page Builder (pub/media/wysiwyg)","CMS / Page Builder (pub/media/wysiwyg)"
